Title
The Lord of the Rings: The Fellowship of the Ring
Forrest Gump
Star Wars: Episode V - The Empire Strikes Back
Inception
The Lord of the Rings: The Two Towers
Avengers: Endgame
One Flew Over the Cuckoo's Nest
Goodfellas
The Matrix
Seven Samurai
Se7en
City of God
Star Wars: Episode IV - A New Hope
The Silence of the Lambs
It's a Wonderful Life
Life Is Beautiful
Spirited Away
Saving Private Ryan
The Usual Suspects
Léon: The Professional
The Green Mile
Interstellar
Psycho
American History X
City Lights
Casablanca
Once Upon a Time in the West
The Pianist
Modern Times
The Intouchables
The Departed
Back to the Future
Terminator 2: Judgment Day
Whiplash
The Lion King
Rear Window
Gladiator
Raiders of the Lost Ark
The Prestige
Apocalypse Now
Memento
Alien
Grave of the Fireflies
Spider-Man: Into the Spider-Verse
Cinema Paradiso
The Great Dictator
Sunset Blvd.
The Lives of Others
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Avengers: Infinity War
Paths of Glory
Django Unchained
The Shining
WALL·E
Princess Mononoke
Witness for the Prosecution
Oldeuboi
Aliens
The Dark Knight Rises
American Beauty
Once Upon a Time in America
Coco
Das Boot
Citizen Kane
Braveheart
Vertigo
North by Northwest
Reservoir Dogs
Your Name.
Star Wars: Episode VI - Return of the Jedi
M
Amadeus
Requiem for a Dream
Dangal
3 Idiots
2001: A Space Odyssey
Toy Story
Taare Zameen Par
Eternal Sunshine of the Spotless Mind
Lawrence of Arabia
A Clockwork Orange
Singin' in the Rain
Amélie
Double Indemnity
Inglourious Basterds
Taxi Driver
Full Metal Jacket
To Kill a Mockingbird
Bicycle Thieves
Good Will Hunting
The Kid
The Sting
The Hunt
Toy Story 3
Snatch
Scarface
For a Few Dollars More
The Apartment
Metropolis
Monty Python and the Holy Grail
L.A. Confidential
A Separation
Indiana Jones and the Last Crusade
Up
Rashômon
All About Eve
Batman Begins
Some Like It Hot
Yojimbo
Downfall
Unforgiven
Die Hard
Heat
The Treasure of the Sierra Madre
Incendies
Ikiru
Green Book
Raging Bull
The Great Escape
Children of Heaven
Pan's Labyrinth
Chinatown
My Neighbor Totoro
The Third Man
Howl's Moving Castle
Babam ve Oglum
Ran
Judgment at Nuremberg
The Secret in Their Eyes
The Gold Rush
A Beautiful Mind
The Bridge on the River Kwai
"Lock, Stock and Two Smoking Barrels"
Casino
The Seventh Seal
"Three Billboards Outside Ebbing, Missouri"
On the Waterfront
The Wolf of Wall Street
The Elephant Man
Inside Out
V for Vendetta
Mr. Smith Goes to Washington
Room
Warrior
Blade Runner
Dial M for Murder
No Country for Old Men
There Will Be Blood
Andhadhun
Wild Strawberries
The Sixth Sense
The General
Trainspotting
Gone with the Wind
The Thing
Fargo
Come and See
Gran Torino
Finding Nemo
The Deer Hunter
Shutter Island
The Big Lebowski
Kill Bill: Vol. 1
Sherlock Jr.
Cool Hand Luke
Tokyo Story
Mary and Max
Rebecca
Hacksaw Ridge
Jurassic Park
How to Train Your Dragon
Gone Girl
Relatos salvajes
The Truman Show
Sunrise
Stalker
The Grand Budapest Hotel
In the Name of the Father
Stand by Me
Into the Wild
It Happened One Night
Platoon
Memories of Murder
Network
Monty Python's Life of Brian
Ben-Hur
Persona
12 Years a Slave
Million Dollar Baby
Hotel Rwanda
Before Sunrise
Neon Genesis Evangelion: The End of Evangelion
The Bandit
Prisoners
Mad Max: Fury Road
The Wages of Fear
Rush
Hachi: A Dog's Tale
Logan
Andrei Rublev
The 400 Blows
Catch Me If You Can
Spotlight
The Passion of Joan of Arc
Amores Perros
Harry Potter and the Deathly Hallows: Part 2
Nausicaä of the Valley of the Wind
The Princess Bride
Rocky
Barry Lyndon
Butch Cassidy and the Sundance Kid
Rang De Basanti
"Monsters, Inc."
Dead Poets Society
The Grapes of Wrath
The Maltese Falcon
The Terminator
Raise the Red Lantern
The Handmaiden
Gandhi
La Haine
Donnie Darko
In the Mood for Love
Diabolique
Groundhog Day
The Help
The Wizard of Oz
Jaws
Guardians of the Galaxy
Before Sunset
Castle in the Sky
"Paris, Texas"
Pirates of the Caribbean: The Curse of the Black Pearl
The Nights of Cabiria
Beauty and the Beast
The Exorcist
Three Colors: Red
Akira
Gangs of Wasseypur
PK
